Variables = x, y, u, v, umag, p
ZONE I= 101 J= 101 F=point
0 0 -2.92162e-06 -5.01722e-07 2.96439e-06 0.0161827
0.01 0 0 -5.29396e-23 5.29396e-23 0.0215745
0.02 0 0 0 0 0.0215615
0.03 0 -3.38813e-21 0 3.38813e-21 0.0215308
0.04 0 0 -4.23516e-22 4.23516e-22 0.0214819
0.05 0 6.77626e-21 0 6.77626e-21 0.0214172
0.06 0 6.77626e-21 0 6.77626e-21 0.0213397
0.07 0 3.38813e-21 8.47033e-22 3.49241e-21 0.0212527
0.08 0 0 8.47033e-22 8.47033e-22 0.0211588
0.09 0 8.47033e-22 -1.69407e-21 1.89402e-21 0.0210602
0.1 0 0 0 0 0.0209589
0.11 0 0 0 0 0.0208562
0.12 0 0 0 0 0.0207534
0.13 0 1.35525e-20 -1.69407e-21 1.3658e-20 0.0206515
0.14 0 -1.35525e-20 -1.69407e-21 1.3658e-20 0.0205512
0.15 0 1.35525e-20 0 1.35525e-20 0.0204529
0.16 0 0 0 0 0.0203569
0.17 0 0 0 0 0.0202638
0.18 0 0 0 0 0.0201736
0.19 0 0 0 0 0.0200867
0.2 0 0 0 0 0.0200033
0.21 0 5.42101e-20 3.38813e-21 5.43159e-20 0.0199235
0.22 0 5.42101e-20 3.38813e-21 5.43159e-20 0.0198478
0.23 0 -5.42101e-20 0 5.42101e-20 0.0197764
0.24 0 0 3.38813e-21 3.38813e-21 0.0197097
0.25 0 0 0 0 0.019648
0.26 0 0 0 0 0.0195919
0.27 0 0 -3.38813e-21 3.38813e-21 0.0195418
0.28 0 0 3.38813e-21 3.38813e-21 0.0194981
0.29 0 0 3.38813e-21 3.38813e-21 0.0194615
0.3 0 0 0 0 0.0194325
0.31 0 -1.0842e-19 -3.38813e-21 1.08473e-19 0.0194121
0.32 0 0 -3.38813e-21 3.38813e-21 0.0194012
0.33 0 1.0842e-19 0 1.0842e-19 0.0193991
0.34 0 -1.0842e-19 3.38813e-21 1.08473e-19 0.0194056
0.35 0 1.0842e-19 0 1.0842e-19 0.0194224
0.36 0 0 0 0 0.0194508
0.37 0 1.0842e-19 0 1.0842e-19 0.0194908
0.38 0 0 0 0 0.0195426
0.39 0 0 -1.69407e-21 1.69407e-21 0.0196063
0.4 0 0 0 0 0.0196823
0.41 0 2.1684e-19 -1.69407e-21 2.16847e-19 0.0197705
0.42 0 0 0 0 0.019871
0.43 0 0 -1.69407e-21 1.69407e-21 0.0199836
0.44 0 0 0 0 0.0201079
0.45 0 -2.1684e-19 1.69407e-21 2.16847e-19 0.0202436
0.46 0 0 0 0 0.0203901
0.47 0 0 8.47033e-22 8.47033e-22 0.0205466
0.48 0 0 0 0 0.0207122
0.49 0 2.1684e-19 -8.47033e-22 2.16842e-19 0.0208858
0.5 0 0 0 0 0.0210658
0.51 0 -2.1684e-19 0 2.1684e-19 0.0212514
0.52 0 0 0 0 0.0214415
0.53 0 -2.1684e-19 0 2.1684e-19 0.0216342
0.54 0 0 -8.47033e-22 8.47033e-22 0.0218276
0.55 0 -2.1684e-19 0 2.1684e-19 0.0220195
0.56 0 -2.1684e-19 0 2.1684e-19 0.0222079
0.57 0 -2.1684e-19 0 2.1684e-19 0.0223909
0.58 0 0 -1.69407e-21 1.69407e-21 0.0225666
0.59 0 -2.1684e-19 0 2.1684e-19 0.0227331
0.6 0 2.1684e-19 0 2.1684e-19 0.0228883
0.61 0 2.1684e-19 0 2.1684e-19 0.0230303
0.62 0 0 3.38813e-21 3.38813e-21 0.0231573
0.63 0 1.0842e-19 0 1.0842e-19 0.0232678
0.64 0 1.0842e-19 0 1.0842e-19 0.02336
0.65 0 0 3.38813e-21 3.38813e-21 0.0234327
0.66 0 0 0 0 0.0234838
0.67 0 1.0842e-19 3.38813e-21 1.08473e-19 0.0235119
0.68 0 0 0 0 0.023519
0.69 0 0 3.38813e-21 3.38813e-21 0.023507
0.7 0 5.42101e-20 0 5.42101e-20 0.0234729
0.71 0 -5.42101e-20 0 5.42101e-20 0.023415
0.72 0 5.42101e-20 3.38813e-21 5.43159e-20 0.023335
0.73 0 -5.42101e-20 -3.38813e-21 5.43159e-20 0.0232341
0.74 0 0 3.38813e-21 3.38813e-21 0.0231136
0.75 0 0 -3.38813e-21 3.38813e-21 0.0229747
0.76 0 1.35525e-20 -3.38813e-21 1.39696e-20 0.022819
0.77 0 -6.77626e-21 3.38813e-21 7.57609e-21 0.0226484
0.78 0 6.77626e-21 3.38813e-21 7.57609e-21 0.022465
0.79 0 0 -1.69407e-21 1.69407e-21 0.0222708
0.8 0 0 -1.69407e-21 1.69407e-21 0.0220682
0.81 0 -1.35525e-20 0 1.35525e-20 0.0218594
0.82 0 0 0 0 0.0216469
0.83 0 2.71051e-20 1.69407e-21 2.71579e-20 0.0214334
0.84 0 0 0 0 0.0212218
0.85 0 0 8.47033e-22 8.47033e-22 0.0210147
0.86 0 0 -4.23516e-22 4.23516e-22 0.0208145
0.87 0 0 -2.11758e-22 2.11758e-22 0.0206237
0.88 0 -2.71051e-20 0 2.71051e-20 0.0204453
0.89 0 0 0 0 0.0202817
0.9 0 2.71051e-20 0 2.71051e-20 0.020134
0.91 0 0 0 0 0.0200044
0.92 0 -1.35525e-20 -8.47033e-22 1.3579e-20 0.019895
0.93 0 0 -8.47033e-22 8.47033e-22 0.0198075
0.94 0 0 8.47033e-22 8.47033e-22 0.0197432
0.95 0 0 0 0 0.0197033
0.96 0 3.38813e-21 -8.47033e-22 3.49241e-21 0.0196861
0.97 0 3.38813e-21 -4.23516e-22 3.4145e-21 0.0196868
0.98 0 0 0 0 0.0196997
0.99 0 1.05879e-22 0 1.05879e-22 0.0197122
1 0 -5.35782e-07 3.45613e-06 3.49741e-06 0.014787
0 0.01 0 0 0 0.0215702
0.01 0.01 3.93861e-05 -4.01801e-06 3.95905e-05 0.0215684
0.02 0.01 8.40085e-05 -5.39388e-06 8.41815e-05 0.0215565
0.03 0.01 0.000127375 3.21113e-07 0.000127375 0.0215271
0.04 0.01 0.000158723 1.16082e-05 0.000159146 0.0214806
0.05 0.01 0.000171007 2.59158e-05 0.000172959 0.0214193
0.06 0.01 0.000160523 4.14597e-05 0.000165791 0.021346
0.07 0.01 0.000125592 5.73366e-05 0.000138061 0.0212635
0.08 0.01 6.58926e-05 7.29534e-05 9.83058e-05 0.0211742
0.09 0.01 -1.79881e-05 8.78891e-05 8.9711e-05 0.0210803
0.1 0.01 -0.000124876 0.000101883 0.000161165 0.0209835
0.11 0.01 -0.000253395 0.000114823 0.000278196 0.0208852
0.12 0.01 -0.000402108 0.000126716 0.000421602 0.0207864
0.13 0.01 -0.000569457 0.000137605 0.000585847 0.0206882
0.14 0.01 -0.000753849 0.000147519 0.000768147 0.0205913
0.15 0.01 -0.000953827 0.000156522 0.000966584 0.0204961
0.16 0.01 -0.0011681 0.000164707 0.00117966 0.020403
0.17 0.01 -0.00139551 0.000172165 0.00140609 0.0203125
0.18 0.01 -0.00163501 0.00017898 0.00164478 0.0202248
0.19 0.01 -0.00188568 0.000185231 0.00189476 0.0201402
0.2 0.01 -0.00214669 0.000190982 0.00215517 0.0200588
0.21 0.01 -0.00241728 0.000196283 0.00242524 0.0199811
0.22 0.01 -0.00269677 0.000201168 0.00270426 0.0199071
0.23 0.01 -0.00298448 0.000205661 0.00299156 0.0198374
0.24 0.01 -0.00327979 0.000209776 0.00328649 0.0197721
0.25 0.01 -0.00358201 0.000213512 0.00358837 0.0197118
0.26 0.01 -0.00389045 0.000216844 0.00389649 0.0196568
0.27 0.01 -0.00420437 0.000219724 0.0042101 0.0196077
0.28 0.01 -0.00452293 0.000222107 0.00452838 0.0195648
0.29 0.01 -0.00484529 0.00022395 0.00485046 0.0195288
0.3 0.01 -0.00517055 0.000225246 0.00517546 0.0195001
0.31 0.01 -0.00549756 0.000225989 0.0055022 0.0194797
0.32 0.01 -0.00582437 0.00022598 0.00582875 0.0194685
0.33 0.01 -0.0061491 0.000224829 0.00615321 0.0194659
0.34 0.01 -0.00647135 0.000222412 0.00647517 0.0194717
0.35 0.01 -0.0067906 0.000218934 0.00679413 0.0194875
0.36 0.01 -0.00710474 0.000214471 0.00710797 0.0195144
0.37 0.01 -0.00741133 0.00020893 0.00741428 0.0195526
0.38 0.01 -0.0077085 0.000202213 0.00771115 0.0196021
0.39 0.01 -0.00799438 0.000194244 0.00799674 0.0196632
0.4 0.01 -0.00826702 0.000184971 0.00826909 0.0197361
0.41 0.01 -0.00852438 0.000174359 0.00852616 0.0198208
0.42 0.01 -0.00876438 0.000162388 0.00876588 0.0199174
0.43 0.01 -0.00898494 0.000149053 0.00898617 0.0200257
0.44 0.01 -0.00918399 0.000134365 0.00918498 0.0201454
0.45 0.01 -0.00935952 0.000118354 0.00936026 0.020276
0.46 0.01 -0.00950954 0.000101068 0.00951008 0.020417
0.47 0.01 -0.00963218 8.25805e-05 0.00963253 0.0205677
0.48 0.01 -0.00972567 6.29703e-05 0.00972588 0.0207272
0.49 0.01 -0.00978852 4.22284e-05 0.00978861 0.0208942
0.5 0.01 -0.00981951 2.0276e-05 0.00981953 0.0210675
0.51 0.01 -0.00981736 -2.44671e-06 0.00981736 0.0212464
0.52 0.01 -0.00978068 -2.5402e-05 0.00978072 0.0214295
0.53 0.01 -0.00970851 -4.85358e-05 0.00970863 0.021615
0.54 0.01 -0.00960035 -7.18461e-05 0.00960062 0.0218011
0.55 0.01 -0.00945616 -9.52834e-05 0.00945664 0.0219856
0.56 0.01 -0.00927626 -0.000118727 0.00927702 0.0221668
0.57 0.01 -0.00906117 -0.000141939 0.00906229 0.0223428
0.58 0.01 -0.0088117 -0.000164608 0.00881324 0.0225118
0.59 0.01 -0.008529 -0.00018646 0.00853104 0.0226717
0.6 0.01 -0.00821458 -0.000207255 0.00821719 0.0228208
0.61 0.01 -0.00787029 -0.000226765 0.00787356 0.022957
0.62 0.01 -0.00749834 -0.000244768 0.00750233 0.0230788
0.63 0.01 -0.00710122 -0.000261063 0.00710602 0.0231845
0.64 0.01 -0.00668166 -0.000275493 0.00668733 0.0232726
0.65 0.01 -0.00624257 -0.000287939 0.0062492 0.0233418
0.66 0.01 -0.00578777 -0.000298272 0.00579545 0.0233903
0.67 0.01 -0.00532249 -0.000306321 0.0053313 0.0234166
0.68 0.01 -0.00485089 -0.000311561 0.00486088 0.0234226
0.69 0.01 -0.00437409 -0.000313476 0.00438531 0.0234099
0.7 0.01 -0.00389433 -0.000312409 0.00390684 0.0233757
0.71 0.01 -0.00341701 -0.000308924 0.00343095 0.0233188
0.72 0.01 -0.00294738 -0.000303103 0.00296293 0.0232405
0.73 0.01 -0.00248928 -0.000294873 0.00250668 0.0231423
0.74 0.01 -0.00204627 -0.000284249 0.00206592 0.0230251
0.75 0.01 -0.00162192 -0.000271337 0.00164446 0.0228901
0.76 0.01 -0.00121961 -0.000256295 0.00124625 0.0227391
0.77 0.01 -0.000842464 -0.000239313 0.000875795 0.0225738
0.78 0.01 -0.000493302 -0.000220614 0.000540387 0.0223961
0.79 0.01 -0.0001746 -0.000200456 0.000265834 0.0222082
0.8 0.01 0.000111547 -0.000179152 0.000211041 0.0220122
0.81 0.01 0.000363385 -0.00015703 0.000395862 0.0218105
0.82 0.01 0.000579386 -0.000134368 0.000594763 0.0216053
0.83 0.01 0.000758432 -0.000111373 0.000766566 0.0213993
0.84 0.01 0.00090021 -8.82159e-05 0.000904522 0.0211952
0.85 0.01 0.00100494 -6.51373e-05 0.00100705 0.0209954
0.86 0.01 0.00107304 -4.2415e-05 0.00107388 0.0208022
0.87 0.01 0.00110536 -2.02009e-05 0.00110554 0.0206182
0.88 0.01 0.00110351 1.47117e-06 0.00110351 0.0204461
0.89 0.01 0.00106982 2.20951e-05 0.00107005 0.0202879
0.9 0.01 0.00100713 4.06403e-05 0.00100795 0.0201455
0.91 0.01 0.000918821 5.64418e-05 0.000920552 0.0200207
0.92 0.01 0.000809019 6.90684e-05 0.000811962 0.0199152
0.93 0.01 0.000682699 7.78565e-05 0.000687124 0.0198303
0.94 0.01 0.000545957 8.20145e-05 0.000552083 0.0197672
0.95 0.01 0.000406788 8.03982e-05 0.000414657 0.0197267
0.96 0.01 0.000275084 7.11794e-05 0.000284143 0.0197075
0.97 0.01 0.00016053 5.30572e-05 0.000169071 0.0197055
0.98 0.01 7.223e-05 2.64924e-05 7.69352e-05 0.0197158
0.99 0.01 2.00619e-05 -2.79781e-06 2.02561e-05 0.0197317
1 0.01 0 0 0 0.0197399
0 0.02 0 0 0 0.0215645
0.01 0.02 5.69764e-05 -2.32896e-05 6.15526e-05 0.0215639
0.02 0.02 0.00011849 -2.61072e-05 0.000121332 0.0215543
0.03 0.02 0.000172621 -8.24841e-06 0.000172818 0.0215273
0.04 0.02 0.000202393 2.47327e-05 0.000203898 0.0214847
0.05 0.02 0.000197014 6.68404e-05 0.000208044 0.0214294
0.06 0.02 0.000150815 0.000113586 0.000188804 0.0213637
0.07 0.02 6.09118e-05 0.000162057 0.000173126 0.0212895
0.08 0.02 -7.36698e-05 0.000210279 0.000222811 0.0212088
0.09 0.02 -0.000252347 0.000256967 0.000360154 0.0211235
0.1 0.02 -0.000473452 0.000301273 0.00056118 0.0210352
0.11 0.02 -0.000734785 0.000342664 0.000810758 0.0209449
0.12 0.02 -0.00103391 0.00038096 0.00110186 0.0208538
0.13 0.02 -0.00136821 0.000416205 0.00143012 0.0207627
0.14 0.02 -0.00173497 0.000448506 0.001792 0.0206724
0.15 0.02 -0.00213158 0.000478043 0.00218453 0.0205833
0.16 0.02 -0.00255569 0.000505054 0.00260512 0.020496
0.17 0.02 -0.00300514 0.000529788 0.00305148 0.0204108
0.18 0.02 -0.00347796 0.000552482 0.00352157 0.0203279
0.19 0.02 -0.00397235 0.000573353 0.00401352 0.0202478
0.2 0.02 -0.00448668 0.000592581 0.00452565 0.0201705
0.21 0.02 -0.00501943 0.000610306 0.0050564 0.0200966
0.22 0.02 -0.00556917 0.000626621 0.00560432 0.0200261
0.23 0.02 -0.00613452 0.000641577 0.00616798 0.0199595
0.24 0.02 -0.0067141 0.000655184 0.00674599 0.0198971
0.25 0.02 -0.00730651 0.000667409 0.00733693 0.0198392
0.26 0.02 -0.00791028 0.000678166 0.0079393 0.0197863
0.27 0.02 -0.00852384 0.000687333 0.00855151 0.0197389
0.28 0.02 -0.00914549 0.000694762 0.00917184 0.0196973
0.29 0.02 -0.00977338 0.000700297 0.00979844 0.0196622
0.3 0.02 -0.0104056 0.000703803 0.0104294 0.0196339
0.31 0.02 -0.0110398 0.000705136 0.0110623 0.0196132
0.32 0.02 -0.0116729 0.000703924 0.0116941 0.019601
0.33 0.02 -0.0123015 0.000699441 0.0123213 0.0195972
0.34 0.02 -0.0129237 0.000691355 0.0129422 0.0196012
0.35 0.02 -0.013538 0.000679961 0.0135551 0.0196145
0.36 0.02 -0.0141407 0.000665267 0.0141564 0.0196383
0.37 0.02 -0.0147277 0.000646958 0.0147419 0.0196724
0.38 0.02 -0.0152953 0.000624821 0.0153081 0.0197171
0.39 0.02 -0.01584 0.0005987 0.0158513 0.0197727
0.4 0.02 -0.0163578 0.000568472 0.0163677 0.0198393
0.41 0.02 -0.0168452 0.000534053 0.0168536 0.0199169
0.42 0.02 -0.0172981 0.000495407 0.0173051 0.0200056
0.43 0.02 -0.0177126 0.000452544 0.0177184 0.0201053
0.44 0.02 -0.0180851 0.000405521 0.0180896 0.0202155
0.45 0.02 -0.0184117 0.000354457 0.0184151 0.0203361
0.46 0.02 -0.0186889 0.000299512 0.0186913 0.0204663
0.47 0.02 -0.0189132 0.000240883 0.0189148 0.0206055
0.48 0.02 -0.0190817 0.000178732 0.0190825 0.0207528
0.49 0.02 -0.0191916 0.000113162 0.019192 0.020907
0.5 0.02 -0.0192405 4.46228e-05 0.0192405 0.0210676
0.51 0.02 -0.0192257 -2.58723e-05 0.0192257 0.0212336
0.52 0.02 -0.0191454 -9.75652e-05 0.0191457 0.0214031
0.53 0.02 -0.0189984 -0.000170262 0.0189992 0.0215747
0.54 0.02 -0.0187838 -0.000243664 0.0187854 0.0217467
0.55 0.02 -0.0185015 -0.000317233 0.0185042 0.0219173
0.56 0.02 -0.0181522 -0.00039036 0.0181564 0.0220849
0.57 0.02 -0.0177368 -0.000462343 0.0177428 0.0222477
0.58 0.02 -0.017257 -0.000532403 0.0172652 0.0224039
0.59 0.02 -0.0167152 -0.000599796 0.0167259 0.0225516
0.6 0.02 -0.0161142 -0.000663809 0.0161278 0.022689
0.61 0.02 -0.0154575 -0.000723738 0.0154744 0.0228145
0.62 0.02 -0.0147493 -0.000778911 0.0147699 0.0229264
0.63 0.02 -0.0139944 -0.000828709 0.0140189 0.0230232
0.64 0.02 -0.0131978 -0.00087258 0.0132266 0.0231036
0.65 0.02 -0.0123652 -0.000910026 0.0123987 0.0231663
0.66 0.02 -0.0115035 -0.000940569 0.0115419 0.0232096
0.67 0.02 -0.0106212 -0.000963787 0.0106649 0.0232325
0.68 0.02 -0.0097253 -0.000978882 0.00977444 0.0232364
0.69 0.02 -0.00881958 -0.000985057 0.00887442 0.0232223
0.7 0.02 -0.00790961 -0.000982654 0.00797041 0.023188
0.71 0.02 -0.00700432 -0.000972386 0.00707149 0.0231327
0.72 0.02 -0.00611234 -0.000954429 0.00618641 0.0230578
0.73 0.02 -0.00524085 -0.000928833 0.00532252 0.0229643
0.74 0.02 -0.00439664 -0.000895796 0.00448697 0.0228531
0.75 0.02 -0.00358634 -0.000855674 0.003687 0.0227256
0.76 0.02 -0.00281621 -0.000808942 0.00293009 0.0225831
0.77 0.02 -0.00209206 -0.000756168 0.00222453 0.0224274
0.78 0.02 -0.00141916 -0.000698008 0.00158153 0.0222604
0.79 0.02 -0.00080216 -0.000635205 0.0010232 0.022084
0.8 0.02 -0.000245051 -0.000568587 0.000619145 0.0219004
0.81 0.02 0.000248861 -0.000499023 0.000557634 0.0217117
0.82 0.02 0.000676817 -0.000427369 0.000800453 0.0215201
0.83 0.02 0.00103683 -0.00035446 0.00109574 0.021328
0.84 0.02 0.00132814 -0.000281161 0.00135758 0.0211378
0.85 0.02 0.00155098 -0.000208431 0.00156492 0.0209518
0.86 0.02 0.00170623 -0.000137164 0.00171173 0.0207721
0.87 0.02 0.00179573 -6.81011e-05 0.00179702 0.020601
0.88 0.02 0.00182228 -1.98335e-06 0.00182228 0.0204405
0.89 0.02 0.00178957 5.99989e-05 0.00179058 0.0202926
0.9 0.02 0.00170273 0.000116129 0.00170668 0.0201597
0.91 0.02 0.00156831 0.000164636 0.00157693 0.0200432
0.92 0.02 0.00139396 0.000203691 0.00140876 0.0199444
0.93 0.02 0.00118863 0.000231247 0.00121091 0.0198642
0.94 0.02 0.000963055 0.000245043 0.000993741 0.0198034
0.95 0.02 0.000730228 0.000242395 0.000769408 0.0197626
0.96 0.02 0.000505637 0.000220096 0.000551462 0.0197412
0.97 0.02 0.000304524 0.000176062 0.000351757 0.0197361
0.98 0.02 0.000140715 0.000111564 0.000179575 0.0197444
0.99 0.02 3.79836e-05 3.65681e-05 5.27256e-05 0.0197716
1 0.02 0 0 0 0.0197912
0 0.03 0 0 0 0.0215766
0.01 0.03 5.79821e-05 -5.18166e-05 7.77617e-05 0.0215766
0.02 0.03 0.00011576 -5.18098e-05 0.000126825 0.0215678
0.03 0.03 0.000156531 -1.12451e-05 0.000156935 0.0215422
0.04 0.03 0.0001599 5.76461e-05 0.000169974 0.021502
0.05 0.03 0.000113364 0.000144518 0.000183676 0.0214506
0.06 0.03 1.02959e-05 0.00024139 0.000241609 0.0213901
0.07 0.03 -0.000152828 0.00034239 0.000374949 0.0213219
0.08 0.03 -0.000377312 0.000443402 0.000582211 0.0212477
0.09 0.03 -0.000662618 0.000541698 0.000855862 0.021169
0.1 0.03 -0.00100691 0.000635492 0.00119068 0.0210871
0.11 0.03 -0.0014075 0.000723655 0.00158263 0.0210032
0.12 0.03 -0.00186117 0.000805694 0.00202808 0.0209183
0.13 0.03 -0.00236451 0.000881569 0.00252351 0.0208332
0.14 0.03 -0.00291399 0.000951461 0.00306539 0.0207486
0.15 0.03 -0.00350614 0.00101569 0.00365029 0.0206649
0.16 0.03 -0.00413773 0.00107466 0.00427501 0.0205826
0.17 0.03 -0.00480577 0.00112882 0.00493656 0.020502
0.18 0.03 -0.00550746 0.00117863 0.00563216 0.0204234
0.19 0.03 -0.00624023 0.00122449 0.00635923 0.0203472
0.2 0.03 -0.00700166 0.00126673 0.00711533 0.0202736
0.21 0.03 -0.00778951 0.00130561 0.00789817 0.0202029
