Variables = x, y, u, v, umag, p
ZONE I= 101 J= 101 F=point
0.06 0.01 0.000141199 3.89039e-05 0.00014646 0.0195079
0.07 0.01 0.000104439 5.73996e-05 0.000119173 0.0194298
0.08 0.01 4.39152e-05 7.56896e-05 8.75069e-05 0.0193451
0.09 0.01 -3.99239e-05 9.32155e-05 0.000101405 0.0192559
0.1 0.01 -0.000146084 0.000109658 0.000182662 0.0191639
0.11 0.01 -0.000273252 0.000124862 0.000300428 0.0190704
0.12 0.01 -0.000419958 0.000138782 0.000442296 0.0189767
0.13 0.01 -0.00058469 0.000151444 0.000603985 0.0188835
0.14 0.01 -0.000765965 0.00016292 0.0007831 0.0187915
0.15 0.01 -0.000962381 0.000173308 0.000977862 0.0187015
0.16 0.01 -0.00117265 0.000182716 0.00118679 0.0186136
0.17 0.01 -0.00139558 0.000191253 0.00140862 0.0185284
0.18 0.01 -0.00163013 0.000199024 0.00164224 0.0184462
0.19 0.01 -0.00187535 0.000206121 0.00188665 0.018367
0.2 0.01 -0.00213039 0.000212619 0.00214098 0.0182914
0.21 0.01 -0.00239448 0.000218579 0.00240444 0.0182193
0.22 0.01 -0.00266691 0.00022404 0.0026763 0.0181513
0.23 0.01 -0.00294698 0.000229026 0.00295586 0.0180874
0.24 0.01 -0.00323403 0.00023354 0.00324245 0.0180282
0.25 0.01 -0.00352738 0.000237569 0.00353537 0.0179738
0.26 0.01 -0.00382632 0.000241085 0.00383391 0.0179248
0.27 0.01 -0.00413009 0.000244046 0.0041373 0.0178816
0.28 0.01 -0.00443787 0.000246397 0.00444471 0.0178445
0.29 0.01 -0.00474875 0.000248075 0.00475523 0.0178142
0.3 0.01 -0.00506175 0.000249006 0.00506787 0.017791
0.31 0.01 -0.00537578 0.000249115 0.00538155 0.0177755
0.32 0.01 -0.00568965 0.000248319 0.00569507 0.0177682
0.33 0.01 -0.00600207 0.000246536 0.00600714 0.0177696
0.34 0.01 -0.00631165 0.000243684 0.00631635 0.0177803
0.35 0.01 -0.00661687 0.000239681 0.00662121 0.0178005
0.36 0.01 -0.00691614 0.000234452 0.00692011 0.0178308
0.37 0.01 -0.00720777 0.000227926 0.00721138 0.0178714
0.38 0.01 -0.00749 0.000220042 0.00749323 0.0179228
0.39 0.01 -0.00776097 0.000210745 0.00776383 0.017985
0.4 0.01 -0.00801881 0.000199995 0.0080213 0.0180583
0.41 0.01 -0.00826156 0.00018776 0.0082637 0.0181427
0.42 0.01 -0.00848729 0.000174026 0.00848907 0.018238
0.43 0.01 -0.00869402 0.000158794 0.00869547 0.0183441
0.44 0.01 -0.00887982 0.000142079 0.00888096 0.0184606
0.45 0.01 -0.0090428 0.000123918 0.00904365 0.0185872
0.46 0.01 -0.00918113 0.000104364 0.00918172 0.0187233
0.47 0.01 -0.00929307 8.34905e-05 0.00929344 0.018868
0.48 0.01 -0.009377 6.13923e-05 0.0093772 0.0190206
0.49 0.01 -0.00943144 3.81838e-05 0.00943152 0.0191801
0.5 0.01 -0.00945509 1.40005e-05 0.0094551 0.0193452
