Variables = x, y, u, v, umag, p
ZONE I= 101 J= 101 F=point
0.08 0.01 0.000208096 1.79028e-05 0.000208865 0.0244629
0.09 0.01 0.000142725 3.52964e-05 0.000147025 0.0243829
0.1 0.01 4.93545e-05 5.20092e-05 7.16996e-05 0.0242974
0.11 0.01 -7.0974e-05 6.79036e-05 9.82253e-05 0.0242074
0.12 0.01 -0.000217036 8.29712e-05 0.000232355 0.0241138
0.13 0.01 -0.000387545 9.73234e-05 0.000399578 0.0240172
0.14 0.01 -0.00058131 0.000111069 0.000591826 0.023918
0.15 0.01 -0.000797349 0.000124271 0.000806975 0.0238166
0.16 0.01 -0.00103487 0.000137032 0.0010439 0.0237134
0.17 0.01 -0.00129323 0.000149472 0.00130184 0.0236084
0.18 0.01 -0.00157196 0.000161697 0.00158026 0.0235022
0.19 0.01 -0.00187071 0.00017379 0.00187877 0.0233948
0.2 0.01 -0.00218922 0.0001858 0.00219709 0.0232866
0.21 0.01 -0.00252732 0.00019776 0.00253505 0.0231779
0.22 0.01 -0.00288488 0.000209685 0.00289249 0.0230693
0.23 0.01 -0.00326165 0.000221554 0.00326917 0.0229611
0.24 0.01 -0.00365729 0.000233314 0.00366473 0.0228539
0.25 0.01 -0.00407138 0.000244891 0.00407874 0.0227484
0.26 0.01 -0.00450336 0.000256187 0.00451064 0.0226453
0.27 0.01 -0.0049525 0.000267085 0.00495969 0.0225453
0.28 0.01 -0.00541784 0.000277455 0.00542494 0.0224493
0.29 0.01 -0.00589823 0.000287149 0.00590521 0.0223582
0.3 0.01 -0.00639223 0.000296013 0.00639908 0.0222729
0.31 0.01 -0.00689818 0.000303882 0.00690487 0.0221946
0.32 0.01 -0.00741412 0.000310589 0.00742062 0.0221241
0.33 0.01 -0.00793784 0.00031597 0.00794412 0.0220627
0.34 0.01 -0.00846689 0.000319885 0.00847293 0.0220113
0.35 0.01 -0.00899868 0.000322277 0.00900445 0.0219711
0.36 0.01 -0.00952976 0.000323052 0.00953524 0.0219436
0.37 0.01 -0.0100554 0.000321469 0.0100606 0.0219299
0.38 0.01 -0.010572 0.000316862 0.0105768 0.0219297
0.39 0.01 -0.0110776 0.000309635 0.0110819 0.0219433
0.4 0.01 -0.011569 0.000300094 0.0115729 0.0219729
0.41 0.01 -0.012041 0.000288043 0.0120444 0.0220193
0.42 0.01 -0.0124887 0.000273347 0.0124917 0.0220824
0.43 0.01 -0.0129079 0.000255909 0.0129105 0.0221626
0.44 0.01 -0.0132943 0.000235704 0.0132964 0.0222599
0.45 0.01 -0.0136436 0.000212742 0.0136452 0.0223743
0.46 0.01 -0.0139513 0.000187048 0.0139526 0.0225054
0.47 0.01 -0.0142134 0.000158742 0.0142143 0.0226524
0.48 0.01 -0.0144259 0.000127902 0.0144265 0.0228146
0.49 0.01 -0.0145852 9.44559e-05 0.0145855 0.0229906
0.5 0.01 -0.0146883 5.84107e-05 0.0146884 0.0231789
0.51 0.01 -0.0147324 2.03932e-05 0.0147324 0.0233782
0.52 0.01 -0.0147145 -1.84994e-05 0.0147145 0.0235869
0.53 0.01 -0.0146326 -5.78252e-05 0.0146327 0.0238027
0.54 0.01 -0.0144851 -9.77294e-05 0.0144855 0.0240231
0.55 0.01 -0.0142713 -0.000138203 0.014272 0.0242452
0.56 0.01 -0.0139913 -0.000178915 0.0139924 0.0244661
0.57 0.01 -0.0136462 -0.000219262 0.0136479 0.0246829
0.58 0.01 -0.0132376 -0.000258631 0.0132402 0.0248929
0.59 0.01 -0.0127679 -0.000296467 0.0127713 0.025093
0.6 0.01 -0.0122399 -0.000332224 0.0122444 0.0252804
0.61 0.01 -0.0116576 -0.000365374 0.0116633 0.0254522
0.62 0.01 -0.0110254 -0.000395426 0.0110325 0.0256057
0.63 0.01 -0.0103488 -0.000421951 0.0103574 0.0257386
0.64 0.01 -0.00963354 -0.000444607 0.00964379 0.0258485
0.65 0.01 -0.00888572 -0.000463154 0.00889778 0.0259337
0.66 0.01 -0.00811306 -0.000477331 0.00812709 0.0259918
0.67 0.01 -0.00732536 -0.000486675 0.00734151 0.0260216
0.68 0.01 -0.00653032 -0.000490409 0.00654871 0.0260248
0.69 0.01 -0.00573161 -0.000488173 0.00575236 0.0260021
0.7 0.01 -0.00493541 -0.000480654 0.00495876 0.0259512
0.71 0.01 -0.00415187 -0.000468568 0.00417823 0.025872
0.72 0.01 -0.00338978 -0.00045205 0.00341979 0.0257667
0.73 0.01 -0.00265599 -0.000431192 0.00269076 0.025637
0.74 0.01 -0.00195705 -0.00040626 0.00199877 0.0254849
0.75 0.01 -0.00129913 -0.000377641 0.00135291 0.0253126
0.76 0.01 -0.000687764 -0.000345793 0.0007698 0.0251226
0.77 0.01 -0.000127736 -0.000311222 0.000336415 0.0249178
0.78 0.01 0.000376942 -0.000274474 0.000466284 0.0247011
0.79 0.01 0.000823125 -0.000236119 0.000856322 0.0244756
0.8 0.01 0.00120841 -0.000196753 0.00122433 0.0242443
0.81 0.01 0.00153105 -0.000157011 0.00153908 0.0240103
0.82 0.01 0.00179038 -0.000117534 0.00179423 0.0237768
0.83 0.01 0.00198686 -7.88722e-05 0.00198842 0.0235467
0.84 0.01 0.00212155 -4.1353e-05 0.00212195 0.0233227
0.85 0.01 0.00219619 -5.14267e-06 0.0021962 0.0231077
0.86 0.01 0.00221338 2.97554e-05 0.00221358 0.0229041
0.87 0.01 0.00217666 6.3158e-05 0.00217758 0.0227146
0.88 0.01 0.00209035 9.39993e-05 0.00209246 0.0225408
0.89 0.01 0.0019592 0.000121217 0.00196295 0.0223844
0.9 0.01 0.00178873 0.000144382 0.00179455 0.0222469
0.91 0.01 0.00158529 0.000162982 0.00159365 0.0221298
0.92 0.01 0.0013562 0.000176363 0.00136762 0.0220341
0.93 0.01 0.00111001 0.000183754 0.00112512 0.0219608
0.94 0.01 0.00085716 0.000184035 0.000876694 0.0219107
0.95 0.01 0.000611171 0.00017508 0.000635754 0.0218838
0.96 0.01 0.000386685 0.000154186 0.000416292 0.0218773
0.97 0.01 0.0001972 0.000119869 0.000230774 0.0218875
0.98 0.01 5.84179e-05 7.305e-05 9.35358e-05 0.0219108
0.99 0.01 -6.2382e-06 1.75674e-05 1.86421e-05 0.0219415
1 0.01 0 0 0 0.0219577
0 0.02 0 0 0 0.0247303
0.01 0.02 4.28833e-05 -8.39294e-05 9.42503e-05 0.0247351
0.02 0.02 0.000111918 -0.000126249 0.000168714 0.0247367
0.03 0.02 0.000193507 -0.000130589 0.000233449 0.0247238
0.04 0.02 0.000261901 -0.00010769 0.000283177 0.0246976
0.05 0.02 0.000299632 -6.74598e-05 0.000307132 0.0246588
