Reference_residue_cont -3.25237e-05
Reference_residue_mom 0.000318024
0.0177663 -7.62513e-06 0.0163681
0.0178078 -7.34599e-06 0.0160882
0.0178478 -7.09887e-06 0.0158057
0.0178863 -6.88029e-06 0.0155207
0.0179235 -6.68736e-06 0.0152332
0.0179596 -6.51726e-06 0.014943
0.0179947 -6.36714e-06 0.0146503
0.0180289 -6.23467e-06 0.014355
0.0180624 -6.11759e-06 0.014057
0.0180951 -6.01387e-06 0.0137564
0.0181272 -5.92173e-06 0.0134531
0.0181587 -5.83976e-06 0.0131471
0.0181898 -5.76661e-06 0.0128384
0.0182205 -5.70021e-06 0.0125269
0.0182507 -5.63871e-06 0.0122127
0.0182806 -5.58097e-06 0.0118957
0.0183101 -5.5262e-06 0.011576
0.0183393 -5.47363e-06 0.0112535
0.0183682 -5.4225e-06 0.0109283
0.0183969 -5.37212e-06 0.0106003
0.0184252 -5.32192e-06 0.0102695
0.0184533 -5.27132e-06 0.00993597
0.0184811 -5.21977e-06 0.00959972
0.0185086 -5.16678e-06 0.00926075
0.0185358 -5.11195e-06 0.00891909
0.0185628 -5.05486e-06 0.00857475
0.0185894 -4.99525e-06 0.00822777
0.0186157 -4.93275e-06 0.00787817
0.0186417 -4.86724e-06 0.00752599
0.0186674 -4.79829e-06 0.00717126
0.0186927 -4.72598e-06 0.00681402
0.0187176 -4.64976e-06 0.00645431
0.0187421 -4.56995e-06 0.00609218
0.0187662 -4.48575e-06 0.00572767
0.0187899 -4.39778e-06 0.00536084
0.0188131 -4.30499e-06 0.00499172
0.0188358 -4.20807e-06 0.00462039
0.0188581 -4.10665e-06 0.0042469
0.0188798 -3.99952e-06 0.00387129
0.0189009 -3.89128e-06 0.00349366
0.0189214 -3.76931e-06 0.00311403
0.0189414 -3.66257e-06 0.00273254
0.0189607 -3.50723e-06 0.00234911
0.0189795 -3.44394e-06 0.00196412
0.0189972 -3.2239e-06 0.00157705
0.0190154 -3.62642e-06 0.00118915
0.0190297 -3.79029e-06 0.000797921
0.019058 -7.82236e-06 0.000410291
0.112841 -0.000390389 0.0220781
0.114754 -0.00017542 0.0188208
0.116213 -2.37065e-05 0.014564
0.116593 -1.48794e-05 0.010541
0.116725 -2.1974e-05 0.00667
0.116861 -2.73892e-05 0.00280518
0.116999 -3.30883e-05 -0.00105425
0.117154 -3.85411e-05 -0.00492158
0.117331 -4.28492e-05 -0.00880634
0.117526 -4.70557e-05 -0.0127146
0.117746 -5.31871e-05 -0.0166481
0.117992 -6.03687e-05 -0.020612
0.118276 -6.98508e-05 -0.0246102
0.118599 -7.98537e-05 -0.0286515
0.118977 -9.3202e-05 -0.0327404
0.119408 -0.000107035 -0.0368894
0.119921 -0.00012647 -0.0411035
0.120504 -0.000145996 -0.0454019
0.12121 -0.000174957 -0.0497898
0.122012 -0.000202737 -0.0542993
0.123005 -0.000247438 -0.0589328
0.124124 -0.000288257 -0.0637474
0.125565 -0.000362328 -0.0687354
0.127163 -0.00042767 -0.0740088
0.129374 -0.000568085 -0.0795296
0.131769 -0.000701752 -0.0855488
0.135569 -0.00106881 -0.0919586
0.139732 -0.00177414 -0.0994109
0.149605 -0.00541197 -0.107288
0.142462 -0.0161907 -0.117447
0.112698 -0.024386 -0.121293
0.0722289 -0.0243663 -0.118085
0.0302982 -0.0132283 -0.109219
0.00392692 -0.000406103 -0.095798
-0.00610909 0.00532408 -0.0851141
-0.00904912 0.00772664 -0.0785846
-0.0111167 0.00926302 -0.0734478
-0.0120308 0.00992993 -0.0696352
-0.0124928 0.0102737 -0.0666495
-0.0126774 0.0104123 -0.06428
-0.0127355 0.0104737 -0.0623592
-0.0127612 0.0105194 -0.0607601
-0.0127878 0.0105498 -0.0593833
-0.0127813 0.0104985 -0.0581521
-0.0125624 0.0101578 -0.0569965
-0.0116164 0.00895279 -0.0558875
-0.0109237 0.00705661 -0.0552759
-0.0112802 0.00538112 -0.0549858
-0.0122622 0.00397093 -0.054749
-0.0135732 0.00269811 -0.0545575
-0.0159206 0.0016651 -0.0544282
-0.0188262 0.00114336 -0.0539938
-0.0211151 0.000927142 -0.053475
-0.0230617 0.000803646 -0.0528741
-0.0247968 0.000719461 -0.0521889
-0.02636 0.000656334 -0.0514281
-0.0277831 0.000603781 -0.0505948
-0.0290839 0.000556868 -0.0496911
-0.0302723 0.000513175 -0.0487186
-0.0313543 0.000471346 -0.0476788
-0.0323336 0.000430511 -0.0465734
-0.0332121 0.000390069 -0.0454039
-0.0339909 0.000348887 -0.0441724
-0.0346704 0.000307284 -0.0428803
-0.0352501 0.000265225 -0.0415295
-0.0357291 0.000222504 -0.0401222
-0.0361064 0.000178402 -0.0386603
-0.0363803 0.000132981 -0.0371465
-0.0365494 8.68417e-05 -0.0355836
-0.0366124 4.06736e-05 -0.0339745
-0.0365678 -4.18781e-06 -0.0323222
-0.0364142 -4.9275e-05 -0.0306302
-0.0361505 -9.49668e-05 -0.0289022
-0.0357756 -0.000141207 -0.0271422
-0.0352889 -0.000187869 -0.0253541
-0.0346899 -0.000234803 -0.0235423
-0.0339787 -0.000281841 -0.0217115
-0.0331555 -0.000328804 -0.0198663
-0.0322216 -0.000375936 -0.0180118
-0.0311777 -0.000422646 -0.0161527
-0.0300245 -0.000468737 -0.0142944
-0.0287666 -0.000513986 -0.0124427
-0.027408 -0.000557931 -0.0106024
-0.0259525 -0.000600187 -0.00877906
-0.0244047 -0.000640484 -0.00697766
-0.0227697 -0.000678525 -0.00520335
-0.0210531 -0.00071403 -0.00346104
-0.0192612 -0.000746859 -0.00175546
-0.0174002 -0.000776821 -9.10899e-05
-0.0154772 -0.000803744 0.00152787
-0.0134993 -0.000827479 0.00309752
-0.0114739 -0.000847911 0.00461431
-0.00940872 -0.000864957 0.00607507
-0.00731142 -0.000878568 0.00747701
-0.00518981 -0.000888727 0.00881775
-0.00305167 -0.000895453 0.0100953
-0.000904652 -0.00089878 0.0113082
0.00124373 -0.000898786 0.0124553
0.0033862 -0.000895596 0.0135358
0.00551572 -0.000889343 0.0145496
0.00762563 -0.00088019 0.0154966
0.00970963 -0.000868311 0.0163773
0.0117619 -0.0008539 0.0171926
0.0137769 -0.000837166 0.0179435
0.0157497 -0.000818328 0.0186315
0.0176759 -0.000797611 0.0192581
0.0195515 -0.000775246 0.0198253
0.021373 -0.000751463 0.0203352
0.0231376 -0.00072649 0.0207899
0.0248426 -0.00070055 0.0211918
0.0264863 -0.000673858 0.0215433
0.0280669 -0.000646621 0.0218471
0.0295836 -0.000619035 0.0221055
0.0310357 -0.00059128 0.0223213
0.0324229 -0.000563525 0.0224969
0.0337453 -0.000535907 0.0226349
0.0350034 -0.000508587 0.0227378
