0 0 0.0099 0 0.0099 0.0712189
0.0703713 0 0 -8.47033e-22 8.47033e-22 0.0933973
0.140743 0 -1.73472e-18 0 1.73472e-18 0.0897005
0.211114 0 -1.73472e-18 0 1.73472e-18 0.0855303
0.281485 0 0 0 0 0.0815534
0.351857 0 0 0 0 0.0776765
0.422228 0 -1.73472e-18 -2.11758e-22 1.73472e-18 0.0738103
0.492599 0 -1.73472e-18 0 1.73472e-18 0.0699437
0.562971 0 -1.73472e-18 0 1.73472e-18 0.0660649
0.633342 0 1.73472e-18 0 1.73472e-18 0.0621659
0.703713 0 0 0 0 0.0582428
0.774085 0 -1.73472e-18 -4.23516e-22 1.73472e-18 0.0542924
0.844456 0 -1.73472e-18 0 1.73472e-18 0.0503104
0.914827 0 0 0 0 0.0462905
0.985199 0 1.73472e-18 0 1.73472e-18 0.042226
1.05557 0 0 0 0 0.0381088
1.12594 0 -1.73472e-18 0 1.73472e-18 0.0339303
1.19631 0 1.73472e-18 0 1.73472e-18 0.0296786
1.26668 0 -1.73472e-18 0 1.73472e-18 0.0253419
1.33706 0 0 -1.69407e-21 1.69407e-21 0.020902
1.40743 0 0 0 0 0.0163419
1.4778 0 0 -1.69407e-21 1.69407e-21 0.0116331
1.54817 0 1.73472e-18 0 1.73472e-18 0.00675128
1.61854 0 1.73472e-18 0 1.73472e-18 0.00164701
1.68891 0 1.73472e-18 -3.38813e-21 1.73473e-18 -0.00371642
1.75928 0 1.73472e-18 -6.77626e-21 1.73474e-18 -0.00943742
1.82965 0 0 0 0 -0.0155879
1.90003 0 0 -1.35525e-20 1.35525e-20 -0.0224018
1.9704 0 0 0 0 -0.0301615
2.04077 -0.00166634 -1.73472e-18 2.1684e-19 1.74822e-18 -0.0400835
2.11114 -0.0125128 -1.73472e-18 -4.33681e-19 1.78811e-18 -0.0480919
2.18151 -0.0341173 0 0 0 -0.0483601
2.25188 -0.0680912 2.1684e-19 2.1684e-19 3.06659e-19 -0.0411832
2.32225 -0.117717 0 5.42101e-20 5.42101e-20 -0.0286922
2.39263 -0.176764 2.1684e-19 -1.0842e-19 2.42435e-19 -0.0161478
2.463 -0.235812 0 0 0 -0.00770856
2.53337 -0.294859 2.1684e-19 2.1684e-19 3.06659e-19 -0.00207171
2.60374 -0.353906 -2.1684e-19 2.1684e-19 3.06659e-19 0.0022535
2.67411 -0.412954 2.1684e-19 0 2.1684e-19 0.00552474
2.74448 -0.472001 0 -2.1684e-19 2.1684e-19 0.00810103
2.81485 -0.531049 2.1684e-19 -2.1684e-19 3.06659e-19 0.0101639
2.88522 -0.590096 0 0 0 0.0118611
2.9556 -0.649144 2.1684e-19 0 2.1684e-19 0.0133067
3.02597 -0.708191 2.1684e-19 -2.1684e-19 3.06659e-19 0.014592
3.09634 -0.767239 2.1684e-19 2.1684e-19 3.06659e-19 0.015789
3.16671 -0.826286 0 -1.0842e-19 1.0842e-19 0.0168996
3.23708 -0.885317 0 0 0 0.0176575
3.30745 -0.934009 -2.1684e-19 5.42101e-20 2.23514e-19 0.0179739
3.37782 -0.967283 2.1684e-19 5.42101e-20 2.23514e-19 0.0181328
3.4482 -0.988302 0 0 0 0.0182565
3.51857 -0.998618 0 0 0 0.0183232
3.58894 -1 2.1684e-19 -1.35525e-20 2.17264e-19 0.0185475
3.65931 -1 -2.1684e-19 6.77626e-21 2.16946e-19 0.0190257
3.72968 -1 -4.33681e-19 -6.77626e-21 4.33734e-19 0.0196031
3.80005 -1 -4.33681e-19 3.38813e-21 4.33694e-19 0.020253
3.87042 -1 0 3.38813e-21 3.38813e-21 0.020975
3.94079 -1 -4.33681e-19 -3.38813e-21 4.33694e-19 0.0217661
4.01117 -1 0 3.38813e-21 3.38813e-21 0.0226244
4.08154 -1 4.33681e-19 -3.38813e-21 4.33694e-19 0.0235483
4.15191 -1 0 0 0 0.0245365
4.22228 -1 -4.33681e-19 0 4.33681e-19 0.0255872
4.29265 -1 0 0 0 0.0266988
4.36302 -1 0 0 0 0.0278695
4.43339 -1 -4.33681e-19 -1.69407e-21 4.33684e-19 0.0290973
4.50377 -1 4.33681e-19 0 4.33681e-19 0.0303803
4.57414 -1 0 -1.69407e-21 1.69407e-21 0.0317162
4.64451 -1 0 -1.69407e-21 1.69407e-21 0.0331026
4.71488 -1 -4.33681e-19 0 4.33681e-19 0.034537
4.78525 -1 4.33681e-19 0 4.33681e-19 0.0360166
4.85562 -1 0 0 0 0.0375387
4.92599 -1 0 -4.23516e-22 4.23516e-22 0.0391007
4.99636 -1 4.33681e-19 -2.11758e-22 4.33681e-19 0.0406994
5.06674 -1 4.33681e-19 0 4.33681e-19 0.0423312
5.13711 -1 0 4.23516e-22 4.23516e-22 0.0439927
5.20748 -1 -4.33681e-19 8.47033e-22 4.33682e-19 0.0456802
5.27785 -1 -4.33681e-19 0 4.33681e-19 0.0473901
5.34822 -1 -4.33681e-19 0 4.33681e-19 0.0491188
5.41859 -1 0 0 0 0.0508624
5.48896 -1 0 1.69407e-21 1.69407e-21 0.0526174
5.55934 -1 4.33681e-19 0 4.33681e-19 0.0543801
5.62971 -1 -4.33681e-19 -1.69407e-21 4.33684e-19 0.0561474
5.70008 -1 0 0 0 0.0579166
5.77045 -1 0 0 0 0.0596842
5.84082 -1 0 3.38813e-21 3.38813e-21 0.0614439
5.91119 -1 0 3.38813e-21 3.38813e-21 0.0632058
5.98156 -1 0 0 0 0.0649803
6.05193 -1 0 0 0 0.0663494
6.12231 -0.990625 4.33681e-19 0 4.33681e-19 0.0677248
