Reference_residue_cont -4.32931e-05
Reference_residue_mom 0.000366918
0.0381501 -0.000155132 0.0948355
0.0392745 -2.59911e-05 0.0917161
0.0398973 2.06535e-05 0.0874506
0.0399879 4.65946e-06 0.0833872
0.040007 -2.5727e-06 0.0795086
0.0400483 -4.81544e-06 0.0756451
0.0400945 -6.44242e-06 0.0717881
0.0401495 -7.73067e-06 0.0679237
0.0402137 -8.54249e-06 0.064042
0.0402854 -9.25103e-06 0.060137
0.0403661 -1.04724e-05 0.0562067
0.0404568 -1.18382e-05 0.0522467
0.0405618 -1.37519e-05 0.0482527
0.0406817 -1.55908e-05 0.0442164
0.0408224 -1.82902e-05 0.0401329
0.0409829 -2.08027e-05 0.0359905
0.0411735 -2.48126e-05 0.0317838
0.0413914 -2.83078e-05 0.0274945
0.0416546 -3.44184e-05 0.0231169
0.041955 -3.92546e-05 0.0186207
0.0423263 -4.89675e-05 0.0140021
0.0427473 -5.57829e-05 0.0092078
0.0432876 -7.2514e-05 0.00424218
0.0438933 -8.28796e-05 -0.000997656
0.0447264 -0.000116341 -0.0064823
0.0456509 -0.000138384 -0.0124379
0.047102 -0.000236394 -0.018782
0.0489157 -0.000425019 -0.026065
0.0532557 -0.00191362 -0.0343009
0.0504385 -0.00636906 -0.0459083
0.0379839 -0.00955517 -0.0503181
0.0218502 -0.0091241 -0.0464482
0.00595106 -0.00416712 -0.0359714
-0.00310127 0.00109337 -0.0214738
-0.00529527 0.00297985 -0.0108874
-0.00553869 0.00370417 -0.00459743
-0.00599189 0.00419566 0.000385216
-0.00602521 0.00436107 0.00405247
-0.00600174 0.00443674 0.00692752
-0.00592035 0.00444685 0.00920507
-0.0058392 0.00444198 0.0110534
-0.0057843 0.00444039 0.0125996
-0.0057556 0.00443509 0.0139448
-0.00571071 0.00438382 0.0151701
-0.00549587 0.00415942 0.0163387
-0.00479204 0.00347791 0.0173912
-0.00406501 0.00245892 0.0178543
-0.00393083 0.00172244 0.0180241
-0.00413895 0.0011976 0.0181722
-0.00448654 0.000740973 0.0182716
-0.00542718 0.000374608 0.0183059
-0.00670198 0.000201592 0.0187202
-0.00760879 0.000153236 0.0192623
-0.00833986 0.000132408 0.019875
-0.00899178 0.000118656 0.0205619
-0.00958192 0.000108901 0.0213188
-0.0101226 0.000100936 0.0221436
-0.0106205 9.38452e-05 0.0230348
-0.0110791 8.72364e-05 0.0239908
-0.0115006 8.09046e-05 0.0250102
-0.0118864 7.47267e-05 0.0260912
-0.0122372 6.86286e-05 0.0272322
-0.0125534 6.25673e-05 0.0284311
-0.0128354 5.64895e-05 0.0296862
-0.013083 5.03511e-05 0.0309951
