Reference_residue_cont -4.32931e-05
Reference_residue_mom 0.000300734
0.116774 -3.88304e-05 -0.0239079
0.116946 -3.92774e-05 -0.0254615
0.117151 -4.35887e-05 -0.0270202
0.117333 -4.33296e-05 -0.0285971
0.117567 -4.9518e-05 -0.0301825
0.117771 -4.98056e-05 -0.0317894
0.118045 -5.86067e-05 -0.0334057
0.118285 -6.03058e-05 -0.0350484
0.118623 -7.26936e-05 -0.0367023
0.118916 -7.52378e-05 -0.0383908
0.119343 -9.18441e-05 -0.0400932
0.119709 -9.59065e-05 -0.0418407
0.120261 -0.000118614 -0.0436055
0.120725 -0.000124611 -0.0454311
0.121455 -0.000155789 -0.0472782
0.122048 -0.000164949 -0.0492089
0.123037 -0.000208912 -0.051166
0.123799 -0.000224014 -0.053242
0.12519 -0.000288853 -0.0553491
0.126172 -0.000318728 -0.0576349
0.128256 -0.000424771 -0.059954
0.129545 -0.000508741 -0.0625687
0.133099 -0.000752185 -0.0652204
0.135012 -0.00124865 -0.0684418
0.1437 -0.0036798 -0.0715956
0.131644 -0.0129514 -0.075338
0.0942023 -0.0179554 -0.0748533
0.0476918 -0.0137082 -0.0700662
0.00917353 -0.000907446 -0.0632572
-0.00846744 0.00840301 -0.0568774
-0.0125522 0.0100506 -0.0530222
-0.0125052 0.0101483 -0.0509308
-0.0123887 0.00996011 -0.0493359
-0.0115906 0.0093337 -0.0483176
-0.0109447 0.00882081 -0.0475288
-0.0102681 0.00830603 -0.0469563
-0.0097406 0.00791294 -0.0464983
-0.00930447 0.00758488 -0.0461284
-0.00894019 0.00727878 -0.0458072
-0.00852892 0.00687352 -0.045521
-0.00800376 0.00630109 -0.0452722
-0.0069702 0.00522433 -0.0450215
-0.00609282 0.00383692 -0.0449276
-0.00599719 0.00277613 -0.0449053
-0.00630719 0.00196158 -0.0449001
-0.0068066 0.0012835 -0.0449046
-0.00796837 0.000783158 -0.0449425
-0.00944931 0.000560272 -0.0449035
-0.0106178 0.000469412 -0.0448796
-0.0117173 0.000419381 -0.0448332
-0.012718 0.000394161 -0.0447797
-0.0136759 0.000376301 -0.0447147
-0.0145926 0.000363518 -0.0446402
-0.0154802 0.000352803 -0.0445557
-0.0163413 0.000343615 -0.0444616
-0.0171796 0.000335286 -0.0443577
-0.0179967 0.000327573 -0.0442441
-0.018794 0.000320277 -0.0441208
-0.0195726 0.000313275 -0.0439879
-0.0203333 0.000306543 -0.0438454
-0.0210767 0.000300057 -0.0436933
-0.0218039 0.000293939 -0.0435318
-0.0225159 0.00028827 -0.0433609
-0.0232144 0.00028332 -0.0431808
-0.0239012 0.000279267 -0.0429915
-0.0245792 0.000276526 -0.0427931
-0.0252518 0.000275318 -0.0425857
-0.0259232 0.000276129 -0.0423694
-0.026598 0.000279067 -0.0421439
-0.0272813 0.000284527 -0.0419091
-0.0279782 0.000292191 -0.0416645
-0.0286931 0.000302042 -0.0414097
-0.0294284 0.000312761 -0.0411435
-0.0301836 0.00032336 -0.0408652
-0.0309536 0.000330453 -0.0405733
-0.0317233 0.000331222 -0.040266
-0.0324719 0.000317228 -0.0399427
-0.0331437 0.000280002 -0.0395999
-0.0336976 0.000190364 -0.0392454
-0.0338636 1.07377e-05 -0.0388518
-0.0339186 -0.000391633 -0.0385413
-0.0320303 -0.00114088 -0.0379807
-0.0321792 -0.00294224 -0.0381188
-0.0358988 -0.00361579 -0.0376366
-0.0376234 -0.0039985 -0.0374143
-0.0400361 -0.00436428 -0.037
-0.0419969 -0.00463724 -0.0365824
-0.0440689 -0.00493324 -0.036086
-0.0460352 -0.00520163 -0.0355396
-0.0479953 -0.00547502 -0.0349252
-0.0498961 -0.00573959 -0.0342462
-0.0517527 -0.00600365 -0.0334948
-0.0535407 -0.00626245 -0.0326689
-0.0552527 -0.00651759 -0.0317632
-0.0568685 -0.00676641 -0.0307742
-0.0583719 -0.00700811 -0.0296978
-0.0597415 -0.00724026 -0.0285306
-0.0609568 -0.00746089 -0.0272694
-0.0619948 -0.00766729 -0.025912
-0.062833 -0.00785679 -0.0244568
-0.0634479 -0.00802631 -0.0229031
-0.0638168 -0.00817277 -0.0212514
-0.0639174 -0.00829277 -0.0195035
-0.0637289 -0.00838309 -0.0176626
