0 0.5 0 0 0 -0.0022954
0.02 0.5 -0.00107018 0.0284255 0.0284457 -0.00269343
0.04 0.5 -0.00331344 0.0531821 0.0532853 -0.00347472
0.06 0.5 -0.00697384 0.0744806 0.0748064 -0.00413756
0.08 0.5 -0.0117606 0.0925551 0.0932993 -0.00467395
0.1 0.5 -0.0174306 0.107661 0.109063 -0.00516741
0.12 0.5 -0.0238133 0.120062 0.122401 -0.00563351
0.14 0.5 -0.0307521 0.130019 0.133606 -0.00609351
0.16 0.5 -0.0381102 0.137777 0.142951 -0.00656323
0.18 0.5 -0.04577 0.143566 0.150686 -0.0070578
0.2 0.5 -0.0536354 0.147587 0.157031 -0.00759
0.22 0.5 -0.0616302 0.150015 0.162181 -0.00816802
0.24 0.5 -0.0696939 0.150991 0.1663 -0.0087963
0.26 0.5 -0.0777798 0.150631 0.169527 -0.00947607
0.28 0.5 -0.0858522 0.14902 0.171981 -0.0102054
0.3 0.5 -0.0938843 0.146217 0.173764 -0.0109792
0.32 0.5 -0.101856 0.14226 0.174964 -0.0117895
0.34 0.5 -0.109752 0.137166 0.17567 -0.0126265
0.36 0.5 -0.11756 0.130936 0.175968 -0.0134774
0.38 0.5 -0.125268 0.123561 0.175953 -0.0143236
0.4 0.5 -0.13286 0.115018 0.17573 -0.0151439
0.42 0.5 -0.140314 0.105283 0.175421 -0.0159163
0.44 0.5 -0.147607 0.0943294 0.175174 -0.0166173
0.46 0.5 -0.154707 0.082134 0.175158 -0.0172185
0.48 0.5 -0.161563 0.0686764 0.175554 -0.0176793
0.5 0.5 -0.168104 0.0539388 0.176545 -0.0179573
0.52 0.5 -0.174253 0.0379249 0.178333 -0.0180381
0.54 0.5 -0.179947 0.0206786 0.181131 -0.0179143
0.56 0.5 -0.185099 0.00226699 0.185113 -0.0175445
0.58 0.5 -0.189582 -0.0172265 0.190363 -0.0168887
0.6 0.5 -0.193241 -0.0376768 0.19688 -0.0159303
0.62 0.5 -0.195908 -0.0589013 0.204571 -0.0146596
0.64 0.5 -0.197396 -0.0806534 0.213237 -0.0130749
0.66 0.5 -0.197502 -0.102614 0.222569 -0.0111867
0.68 0.5 -0.196012 -0.124384 0.232146 -0.00902102
0.7 0.5 -0.192709 -0.145473 0.241452 -0.00662145
0.72 0.5 -0.18739 -0.165302 0.24988 -0.00404501
0.74 0.5 -0.179875 -0.183211 0.256752 -0.00136609
0.76 0.5 -0.170044 -0.19847 0.261353 0.00131006
0.78 0.5 -0.157873 -0.210291 0.262957 0.00386281
0.8 0.5 -0.143454 -0.217874 0.260861 0.0061766
0.82 0.5 -0.127014 -0.220471 0.254441 0.00813412
0.84 0.5 -0.108952 -0.217442 0.243211 0.00961095
0.86 0.5 -0.0898692 -0.208313 0.226872 0.0104986
0.88 0.5 -0.0705086 -0.192868 0.205352 0.0107881
0.9 0.5 -0.0516715 -0.171281 0.178905 0.0105179
0.92 0.5 -0.0342498 -0.144104 0.148118 0.00965124
0.94 0.5 -0.0192151 -0.112183 0.113817 0.00823026
0.96 0.5 -0.00766634 -0.0766087 0.0769913 0.00617943
0.98 0.5 -0.00130505 -0.0386547 0.0386767 0.00304119
1 0.5 0 0 0 0.00112518
