Variables = x, y, u, v, umag, p
ZONE I= 101 J= 101 F=point
0 0 2.23673e-07 3.31723e-06 3.32476e-06 0.00711508
0.01 0 0 0 0 0.00949312
0.02 0 0 0 0 0.00949346
0.03 0 8.47033e-22 0 8.47033e-22 0.00946572
0.04 0 0 8.47033e-22 8.47033e-22 0.00940746
0.05 0 -8.47033e-22 -8.47033e-22 1.19789e-21 0.00932195
0.06 0 -8.47033e-22 8.47033e-22 1.19789e-21 0.00921434
0.07 0 0 -1.05879e-22 1.05879e-22 0.00909011
0.08 0 0 0 0 0.00895444
0.09 0 0 0 0 0.00881197
0.1 0 -6.77626e-21 8.47033e-22 6.829e-21 0.00866672
0.11 0 6.77626e-21 0 6.77626e-21 0.00852215
0.12 0 -1.35525e-20 -1.69407e-21 1.3658e-20 0.00838113
0.13 0 -1.35525e-20 -1.69407e-21 1.3658e-20 0.00824609
0.14 0 -1.35525e-20 -1.69407e-21 1.3658e-20 0.00811902
0.15 0 0 0 0 0.00800155
0.16 0 0 -1.69407e-21 1.69407e-21 0.00789501
0.17 0 0 -1.69407e-21 1.69407e-21 0.00780046
0.18 0 0 0 0 0.00771875
0.19 0 2.71051e-20 1.69407e-21 2.71579e-20 0.00765055
0.2 0 0 0 0 0.00759639
0.21 0 0 0 0 0.00755668
0.22 0 0 0 0 0.00753172
0.23 0 0 -3.38813e-21 3.38813e-21 0.00752175
0.24 0 0 3.38813e-21 3.38813e-21 0.00752694
0.25 0 0 -3.38813e-21 3.38813e-21 0.00754742
0.26 0 0 -3.38813e-21 3.38813e-21 0.00758327
0.27 0 -5.42101e-20 0 5.42101e-20 0.00763456
0.28 0 0 0 0 0.00770132
0.29 0 1.0842e-19 0 1.0842e-19 0.00778356
0.3 0 1.0842e-19 0 1.0842e-19 0.00788128
0.31 0 0 3.38813e-21 3.38813e-21 0.00799443
0.32 0 0 0 0 0.00812297
0.33 0 1.0842e-19 0 1.0842e-19 0.00826681
0.34 0 -1.0842e-19 0 1.0842e-19 0.00842584
0.35 0 1.0842e-19 -1.69407e-21 1.08433e-19 0.00859991
0.36 0 1.0842e-19 0 1.0842e-19 0.00878883
0.37 0 0 0 0 0.00899238
0.38 0 0 0 0 0.00921025
0.39 0 1.0842e-19 0 1.0842e-19 0.00944211
0.4 0 0 1.69407e-21 1.69407e-21 0.00968754
0.41 0 -1.0842e-19 0 1.0842e-19 0.00994607
0.42 0 -1.0842e-19 0 1.0842e-19 0.0102171
0.43 0 0 -1.69407e-21 1.69407e-21 0.0105001
0.44 0 0 -8.47033e-22 8.47033e-22 0.0107943
0.45 0 0 -8.47033e-22 8.47033e-22 0.0110988
0.46 0 1.0842e-19 0 1.0842e-19 0.0114129
0.47 0 0 -8.47033e-22 8.47033e-22 0.0117354
0.48 0 0 0 0 0.0120654
0.49 0 0 0 0 0.0124016
0.5 0 0 5.29396e-23 5.29396e-23 0.0127429
0.51 0 0 0 0 0.0130878
0.52 0 -1.0842e-19 0 1.0842e-19 0.0134351
0.53 0 0 0 0 0.0137831
0.54 0 1.0842e-19 0 1.0842e-19 0.0141303
0.55 0 0 0 0 0.0144752
0.56 0 1.0842e-19 1.69407e-21 1.08433e-19 0.014816
0.57 0 1.0842e-19 0 1.0842e-19 0.0151512
0.58 0 -1.0842e-19 0 1.0842e-19 0.0154789
0.59 0 1.0842e-19 1.69407e-21 1.08433e-19 0.0157975
0.6 0 0 0 0 0.0161053
0.61 0 0 0 0 0.0164006
0.62 0 0 -3.38813e-21 3.38813e-21 0.0166818
0.63 0 0 0 0 0.0169473
0.64 0 -1.0842e-19 3.38813e-21 1.08473e-19 0.0171955
0.65 0 1.0842e-19 0 1.0842e-19 0.0174251
0.66 0 -1.0842e-19 0 1.0842e-19 0.0176348
0.67 0 0 0 0 0.0178234
0.68 0 1.0842e-19 0 1.0842e-19 0.0179898
0.69 0 -1.0842e-19 3.38813e-21 1.08473e-19 0.0181332
0.7 0 -1.0842e-19 3.38813e-21 1.08473e-19 0.0182529
0.71 0 0 0 0 0.0183483
0.72 0 0 0 0 0.0184191
0.73 0 -5.42101e-20 3.38813e-21 5.43159e-20 0.0184653
0.74 0 0 3.38813e-21 3.38813e-21 0.0184868
0.75 0 0 -3.38813e-21 3.38813e-21 0.018484
0.76 0 5.42101e-20 0 5.42101e-20 0.0184575
0.77 0 0 0 0 0.0184079
